time/s	I/mA	Ewe/V
1.302357967099670E+002	-3.0045798E-003	3.1323335E+000
1.306401966997510E+002	-3.0048343E-003	3.1323526E+000
1.310327966898330E+002	-3.0047705E-003	3.1328108E+000
1.312193966851191E+002	-3.0050890E-003	3.1371255E+000
1.314231966799707E+002	-3.0052799E-003	3.1394355E+000
1.317769966710330E+002	-3.0043887E-003	3.1353309E+000
1.321143966625095E+002	-3.0047705E-003	3.1338608E+000
1.323397966568155E+002	-3.0047705E-003	3.1407912E+000
1.326103966499795E+002	-3.0050252E-003	3.1387100E+000
1.327881966454879E+002	-3.0052161E-003	3.1473205E+000
1.329973966402031E+002	-3.0048343E-003	3.1561790E+000
1.333547966311744E+002	-3.0048981E-003	3.1511197E+000
1.334845966278954E+002	-3.0043253E-003	3.1492105E+000
1.338031966198469E+002	-3.0047072E-003	3.1516924E+000
1.342129966094944E+002	-3.0048981E-003	3.1494396E+000
1.345001966022392E+002	-3.0044522E-003	3.1491151E+000
1.348581965931953E+002	-3.0048981E-003	3.1507761E+000
1.353657965803723E+002	-3.0041977E-003	3.1487906E+000
1.357597965704190E+002	-3.0048981E-003	3.1552434E+000
1.361319965610164E+002	-3.0043887E-003	3.1512916E+000
1.365673965500173E+002	-3.0046434E-003	3.1517115E+000
1.370777965371235E+002	-3.0049616E-003	3.1516733E+000
1.374589965274936E+002	-3.0046434E-003	3.1474540E+000
1.378527965175454E+002	-3.0059165E-003	3.1492679E+000
1.382815965067130E+002	-3.0045160E-003	3.1477404E+000
1.385155965008016E+002	-3.0044522E-003	3.1440940E+000
1.387415964950924E+002	-3.0048981E-003	3.1463468E+000
1.393323964801675E+002	-3.0045160E-003	3.1420703E+000
1.396089964731800E+002	-3.0051528E-003	3.1491914E+000
1.397837964687642E+002	-3.0048981E-003	3.1467094E+000
1.399235964652325E+002	-3.0046434E-003	3.1429293E+000
1.402577964567899E+002	-3.0047072E-003	3.1404092E+000
1.407581964441488E+002	-3.0049616E-003	3.1407912E+000
1.411923964331800E+002	-3.0048343E-003	3.1411729E+000
1.417809964183107E+002	-3.0050252E-003	3.1410966E+000
1.424145964023046E+002	-3.0047072E-003	3.1411538E+000
1.428403963915480E+002	-3.0049616E-003	3.1457357E+000
1.431529963836510E+002	-3.0040704E-003	3.1441703E+000
1.434747963755217E+002	-3.0048981E-003	3.1423757E+000
1.438549963659170E+002	-3.0052799E-003	3.1467860E+000
1.442381963562366E+002	-3.0052161E-003	3.1427767E+000
1.447197963440703E+002	-3.0048981E-003	3.1402757E+000
1.452751963300398E+002	-3.0046434E-003	3.1380229E+000
1.456409963207989E+002	-3.0040068E-003	3.1356554E+000
1.460463963105576E+002	-3.0048981E-003	3.1442850E+000
1.464865962994372E+002	-3.0048343E-003	3.1507761E+000
1.467057962938998E+002	-3.0043887E-003	3.1511769E+000
1.470283962857502E+002	-3.0053435E-003	3.1529143E+000
1.473443962777674E+002	-3.0048981E-003	3.1500888E+000
1.477531962674402E+002	-3.0043253E-003	3.1502223E+000
1.480659962595382E+002	-3.0048343E-003	3.1564271E+000
1.482893962538947E+002	-3.0052161E-003	3.1544416E+000
1.486813962439919E+002	-3.0046434E-003	3.1568091E+000
1.489195962379745E+002	-3.0038792E-003	3.1608183E+000
1.492091962306586E+002	-3.0049616E-003	3.1561599E+000
1.494971962233831E+002	-3.0047705E-003	3.1565800E+000
1.498001962157286E+002	-3.0048981E-003	3.1609519E+000
1.502003962056187E+002	-3.0049616E-003	3.1609137E+000
1.504595961990708E+002	-3.0051528E-003	3.1588328E+000
1.508067961902998E+002	-3.0051528E-003	3.1610284E+000
1.516391961692716E+002	-3.0041342E-003	3.1599972E+000
1.522985961526138E+002	-3.0051528E-003	3.1556635E+000
1.529153961370321E+002	-3.0048981E-003	3.1558735E+000
